"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","stanely_L","stanley_R","intellectual_R_1","intellectual_R_2","intellectual_R_3","intellectual_L_1","intellectual_L_2","intellectual_L_3","morality_R_1","morality_R_2","morality_R_3","morality_L_1","morality_L_2","morality_L_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
63,1651854682741,"06/05/2022 16:31:22",6421576,3,61,"Strongly Agree","statements",4,"Once or twice a year","A few times a year",NA,"Female","Undergraduate degree (BSc, BA)",2,"Leave","We were fine back then we'll survive again",NA,"Strongly Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Agree","Pro",7,620,302,"For","ANTI",0,1,1,0,0,1,1
5,1651854456466,"06/05/2022 16:27:36",6421580,3,3,"Disagree","statements",8,"A few times a year","Most months",65,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","We in the UK are paying too much towards the EU; more than our fair share",NA,"Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",2,643,303,"For","ANTI",0,1,1,0,0,0,0
6,1651854462297,"06/05/2022 16:27:42",6421580,3,4,"Neither Agree nor Disagree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Can make new trade deals with other countries",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",4,615,303,"For","ANTI",0,1,1,0,0,0,0
7,1651854465468,"06/05/2022 16:27:45",6421580,3,5,"Strongly Disagree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",3,"Leave","We don't have control of our decision making",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",1,627,303,"For","ANTI",0,1,1,0,0,0,0
10,1651854479203,"06/05/2022 16:27:59",6421580,3,8,"Neither Agree nor Disagree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",2,"Leave","It's costing us a lot to be in the EU",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",4,626,303,"For","ANTI",0,1,1,0,0,0,0
12,1651854490429,"06/05/2022 16:28:10",6421580,3,10,"Somewhat Disagree","statements",2,"Rarely","Once or twice a year",32,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Wanting oversight on own laws noT Eu court of human rights ",NA,"Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Pro",3,608,303,"For","ANTI",0,1,1,0,0,0,0
14,1651854496503,"06/05/2022 16:28:16",6421580,3,12,"Strongly Disagree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","don't want immigrants",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",1,657,303,"For","ANTI",0,1,1,0,0,0,0
16,1651854501736,"06/05/2022 16:28:21",6421580,3,14,"Strongly Disagree","statements",2,"Rarely","Once or twice a year",32,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Immigration- blaming EU for higher levels ",NA,"Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Pro",1,607,303,"For","ANTI",0,1,1,0,0,0,0
17,1651854506369,"06/05/2022 16:28:26",6421580,3,15,"Neither Agree nor Disagree","statements",9,"A few times a year","Rarely",38,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Britain should be able to negotiate its own terms for import and export. ",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",4,650,303,"For","ANTI",0,1,1,0,0,0,0
19,1651854513492,"06/05/2022 16:28:33",6421580,3,17,"Disagree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",2,"Leave","I think the extra money will be good",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",2,632,303,"For","ANTI",0,1,1,0,0,0,0
20,1651854522419,"06/05/2022 16:28:42",6421580,3,18,"Somewhat Disagree","statements",7,"Once or twice a year","Rarely",23,"Female","Undergraduate degree (BSc, BA)",2,"Leave","We need better control of our own borders and managing immigration numbers",NA,"Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",3,638,303,"For","ANTI",0,1,1,0,0,0,0
21,1651854527620,"06/05/2022 16:28:47",6421580,3,19,"Strongly Disagree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",1,"Leave","The NHS would get more funding ",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",1,625,303,"For","ANTI",0,1,1,0,0,0,0
23,1651854532031,"06/05/2022 16:28:52",6421580,3,21,"Strongly Disagree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",1,"Leave","I don't want foreigners coming to the UK and taking our jobs",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",1,601,303,"For","ANTI",0,1,1,0,0,0,0
24,1651854536885,"06/05/2022 16:28:56",6421580,3,22,"Neither Agree nor Disagree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",3,"Leave","No idea for a third reason ",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",4,633,303,"For","ANTI",0,1,1,0,0,0,0
27,1651854551657,"06/05/2022 16:29:11",6421580,3,25,"Strongly Disagree","statements",4,"Once or twice a year","A few times a year",NA,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Think of all the money saved in benefits given to europeans",NA,"Strongly Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Agree","Pro",1,621,303,"For","ANTI",0,1,1,0,0,0,0
31,1651854568548,"06/05/2022 16:29:28",6421580,3,29,"Strongly Disagree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","It's important to take back powers from the EU",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",1,613,303,"For","ANTI",0,1,1,0,0,0,0
38,1651854602853,"06/05/2022 16:30:02",6421580,3,36,"Strongly Disagree","statements",8,"A few times a year","Most months",65,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","We are suffering population overload with too many people immigrating to the UK from Europe, and as a member of the EU, we don't have sufficient control over this",NA,"Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",1,644,303,"For","ANTI",0,1,1,0,0,0,0
42,1651854622633,"06/05/2022 16:30:22",6421580,3,40,"Strongly Disagree","statements",8,"A few times a year","Most months",65,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","We want to retain our national sovereignty and are at risk of losing it if we stay in the EU",NA,"Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",1,645,303,"For","ANTI",0,1,1,0,0,0,0
43,1651854624495,"06/05/2022 16:30:24",6421580,3,41,"Strongly Disagree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",1,"Leave","I think immigrants are taking our jobs ",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",1,631,303,"For","ANTI",0,1,1,0,0,0,0
44,1651854626374,"06/05/2022 16:30:26",6421580,3,42,"Strongly Disagree","statements",9,"A few times a year","Rarely",38,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Britain is too restricted by European Laws",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",1,649,303,"For","ANTI",0,1,1,0,0,0,0
45,1651854628815,"06/05/2022 16:30:28",6421580,3,43,"Strongly Disagree","statements",7,"Once or twice a year","Rarely",23,"Female","Undergraduate degree (BSc, BA)",3,"Leave","'It can't get any worse'",NA,"Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",1,639,303,"For","ANTI",0,1,1,0,0,0,0
46,1651854631497,"06/05/2022 16:30:31",6421580,3,44,"Strongly Disagree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",2,"Leave","I want more money for the NHS to be spent on British people and not foreigners",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",1,602,303,"For","ANTI",0,1,1,0,0,0,0
48,1651854635863,"06/05/2022 16:30:35",6421580,3,46,"Strongly Disagree","statements",4,"Once or twice a year","A few times a year",NA,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Way too many immigrants stealing jobs",NA,"Strongly Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Agree","Pro",1,619,303,"For","ANTI",0,1,1,0,0,0,0
50,1651854644031,"06/05/2022 16:30:44",6421580,3,48,"Strongly Disagree","statements",7,"Once or twice a year","Rarely",23,"Female","Undergraduate degree (BSc, BA)",1,"Leave","It costs a lot and we should be spending that money within the UK eg on the health services",NA,"Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",1,637,303,"For","ANTI",0,1,1,0,0,0,0
51,1651854646981,"06/05/2022 16:30:46",6421580,3,49,"Neither Agree nor Disagree","statements",2,"Rarely","Once or twice a year",32,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Cost of items. Believe it will be lower. ",NA,"Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Pro",4,609,303,"For","ANTI",0,1,1,0,0,0,0
54,1651854654068,"06/05/2022 16:30:54",6421580,3,52,"Disagree","statements",4,"Once or twice a year","A few times a year",NA,"Female","Undergraduate degree (BSc, BA)",2,"Leave","We were fine back then we'll survive again",NA,"Strongly Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Agree","Pro",2,620,303,"For","ANTI",0,1,1,0,0,0,0
56,1651854659944,"06/05/2022 16:30:59",6421580,3,54,"Strongly Disagree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","wanted more independence",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",1,655,303,"For","ANTI",0,1,1,0,0,0,0
57,1651854665154,"06/05/2022 16:31:05",6421580,3,55,"Disagree","statements",9,"A few times a year","Rarely",38,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","It is expensive to belong to the EU. ",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",2,651,303,"For","ANTI",0,1,1,0,0,0,0
58,1651854668222,"06/05/2022 16:31:08",6421580,3,56,"Somewhat Disagree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",3,"Leave","I want stricter boarder controls ",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",3,603,303,"For","ANTI",0,1,1,0,0,0,0
60,1651854672250,"06/05/2022 16:31:12",6421580,3,58,"Strongly Disagree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","wanted things to be like an older time",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",1,656,303,"For","ANTI",0,1,1,0,0,0,0
64,1651854690323,"06/05/2022 16:31:30",6421580,3,62,"Neither Agree nor Disagree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Easier to control immigration ",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",4,614,303,"For","ANTI",0,1,1,0,0,0,0
3,1651854832818,"06/05/2022 16:33:52",6421638,3,1,"Somewhat Agree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","It's important to take back powers from the EU",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",5,613,304,"For","ANTI",0,1,1,0,0,0,1
4,1651854835614,"06/05/2022 16:33:55",6421638,3,2,"Strongly Agree","statements",7,"Once or twice a year","Rarely",23,"Female","Undergraduate degree (BSc, BA)",2,"Leave","We need better control of our own borders and managing immigration numbers",NA,"Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,638,304,"For","ANTI",0,1,1,0,0,1,1
6,1651854846254,"06/05/2022 16:34:06",6421638,3,4,"Somewhat Disagree","statements",2,"Rarely","Once or twice a year",32,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Immigration- blaming EU for higher levels ",NA,"Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Pro",3,607,304,"For","ANTI",0,1,1,0,0,0,0
7,1651854850348,"06/05/2022 16:34:10",6421638,3,5,"Strongly Agree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","wanted things to be like an older time",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",7,656,304,"For","ANTI",0,1,1,0,0,1,1
8,1651854852182,"06/05/2022 16:34:12",6421638,3,6,"Strongly Agree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",2,"Leave","It's costing us a lot to be in the EU",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,626,304,"For","ANTI",0,1,1,0,0,1,1
10,1651854857461,"06/05/2022 16:34:17",6421638,3,8,"Strongly Agree","statements",8,"A few times a year","Most months",65,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","We in the UK are paying too much towards the EU; more than our fair share",NA,"Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,643,304,"For","ANTI",0,1,1,0,0,1,1
11,1651854861068,"06/05/2022 16:34:21",6421638,3,9,"Strongly Agree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",2,"Leave","I want more money for the NHS to be spent on British people and not foreigners",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,602,304,"For","ANTI",0,1,1,0,0,1,1
12,1651854862688,"06/05/2022 16:34:22",6421638,3,10,"Strongly Agree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Easier to control immigration ",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,614,304,"For","ANTI",0,1,1,0,0,1,1
18,1651854878779,"06/05/2022 16:34:38",6421638,3,16,"Strongly Agree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","wanted more independence",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",7,655,304,"For","ANTI",0,1,1,0,0,1,1
19,1651854880433,"06/05/2022 16:34:40",6421638,3,17,"Strongly Agree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",3,"Leave","We don't have control of our decision making",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,627,304,"For","ANTI",0,1,1,0,0,1,1
20,1651854884858,"06/05/2022 16:34:44",6421638,3,18,"Somewhat Agree","statements",4,"Once or twice a year","A few times a year",NA,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Think of all the money saved in benefits given to europeans",NA,"Strongly Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Agree","Pro",5,621,304,"For","ANTI",0,1,1,0,0,0,1
26,1651854902493,"06/05/2022 16:35:02",6421638,3,24,"Strongly Agree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",2,"Leave","I think the extra money will be good",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",7,632,304,"For","ANTI",0,1,1,0,0,1,1
27,1651854904696,"06/05/2022 16:35:04",6421638,3,25,"Neither Agree nor Disagree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",1,"Leave","I don't want foreigners coming to the UK and taking our jobs",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",4,601,304,"For","ANTI",0,1,1,0,0,0,0
32,1651854920477,"06/05/2022 16:35:20",6421638,3,30,"Strongly Disagree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",1,"Leave","I think immigrants are taking our jobs ",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",1,631,304,"For","ANTI",0,1,1,0,0,0,0
37,1651854930593,"06/05/2022 16:35:30",6421638,3,35,"Strongly Disagree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","don't want immigrants",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",1,657,304,"For","ANTI",0,1,1,0,0,0,0
38,1651854932670,"06/05/2022 16:35:32",6421638,3,36,"Strongly Agree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Can make new trade deals with other countries",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,615,304,"For","ANTI",0,1,1,0,0,1,1
